k	target_gene	candidate_gene	rank	distance
25	VSIR	SPSB3	41	0.21318198153176993
25	VSIR	NECAP2	42	0.21325566095504564
25	VSIR	FAM53C	43	0.21400753893101446
25	VSIR	PDCD7	44	0.21440139559149266
25	VSIR	TLK1	45	0.2147621605618662
25	VSIR	CCNH	46	0.2152606586642643
25	VSIR	PPM1B	47	0.21995966568188688
25	VSIR	LPIN1	48	0.2240282607305292
25	VSIR	MGAT4A	49	0.2260474761449769
25	VSIR	RBM23	50	0.22913410997279984
25	VSIR	SDHAF2	51	0.230242156129623
25	VSIR	EPB41	52	0.23123714604855955
25	VSIR	PPP6R1	53	0.231334624315527
25	VSIR	DNAJC9	54	0.23349687851203293
25	VSIR	RHBDD2	55	0.2345041901914357
25	VSIR	MBP	56	0.2351857488638538
25	VSIR	PKN1	57	0.23626302153569267
25	VSIR	RABGAP1L	58	0.23922499043684106
25	VSIR	CCM2	59	0.24119431065256494
25	VSIR	PNKP	60	0.24204766965306465
25	VSIR	AKIRIN2	61	0.242672541124463
25	VSIR	CHORDC1	62	0.2454304987056011
25	VSIR	CCDC57	63	0.24579144224442698
25	VSIR	CYTH1	64	0.24645900482502947
